AS-001	Auto Sync start: no crews	Organizer texts Auto Sync when account has 0 crews	System replies “no crews” message and ends flow (no draft created).		2	Completed
AS-002	Auto Sync start: crew name recognized	Organizer texts Auto Sync Friends (crew exists)	System selects crew and prompts: “Event name?” (or equivalent event-name prompt).		2	Completed
AS-003	Auto Sync start: crew name not recognized	Organizer texts Auto Sync FakeCrew	System replies crew-not-found message with options to retry/create/exit; no draft created.		7	Fix Needed
AS-004	Event name required: blank	After crew selection, organizer submits empty/whitespace event name	System re-prompts for event name; does not proceed.		2	Completed
AS-005	Event name accepted	Organizer submits valid event name	System proceeds to time definition step (calendar-mode prompt for windows OR no-calendar prompt for concrete times, depending on calendar connectivity).		2	Completed
AS-006	Exit during setup discards	Organizer types exit during setup (before sending)	System exits to normal chat; Auto Sync draft discarded; auto sync check shows nothing.		3	Completed
AS-007	Calendar connected auto-detection	Organizer has Google Calendar connected; texts Auto Sync and proceeds	System does not ask to connect calendar; uses calendar-mode time-window prompt.		2	Completed
AS-008	Calendar not connected: no-calendar mode	Organizer has no calendar connected; texts Auto Sync and proceeds	System does not ask to connect calendar; uses no-calendar prompt requiring 1–3 concrete times.		2	Completed
AS-009	No calendar “nag”	Organizer without calendar completes full Auto Sync setup	At no point does system prompt “connect calendar”; only time zone prompt appears at send-time if needed.		4	Completed
AS-010	Calendar mode: time window input accepted	Calendar connected; organizer provides NL window (e.g., “weeknights next week”)	System acknowledges and moves into “propose option” loop (shows first option + week view).		3	Completed
AS-011	Calendar mode: propose option structure	Calendar connected; system proposes option	Organizer receives: (a) week-level calendar visual for Mon–Sun, (b) one highlighted proposed slot, (c) instruction to reply yes (save), next, or suggest change.		3	Completed
AS-012	Calendar mode: next shows another option	Organizer replies next	System shows next option (same structure: week view + highlighted time + prompt).		4	Completed
AS-013	Calendar mode: save first option	Organizer replies yes to a proposal	System confirms saved option and prompts: “Send Auto Sync, add another option, or exit?” (or equivalent).		3	Completed
AS-014	Calendar mode: save second option	Organizer saves a second option	System confirms second save and prompts to send/add/exit.		2	Completed
AS-015	Calendar mode: save third option and enforce max	Organizer saves a third option	System confirms third save and states max reached; prompt includes only send or exit.		2	Completed
AS-016	Calendar mode: suggest valid change same week	Organizer suggests a new time within shown week with no conflict	System updates highlighted time to suggested time and asks for confirmation to save / next (no error).		4	Completed
AS-017	Calendar mode: suggest conflicting change	Organizer suggests time that conflicts on organizer calendar	System responds “conflicts” and returns to same decision prompt (save/suggest/next), without saving.		3	Completed
AS-018	Calendar mode: suggest time in different week	Organizer suggests time outside currently shown week	System loads new week view, highlights suggested time, asks for confirmation to save / next.		2	Completed
AS-019	Calendar mode: no fully open window (closest option)	Organizer’s calendar has no fully open window in requested range	System returns “closest option” proposal (still one option + week view + prompt).		3	Completed
AS-020	Calendar mode: calendar access failure mid-flow	Calendar token/API fails during proposal loop	System returns calendar access error and exits/discards the in-progress Auto Sync (no active Auto Sync remains).		2	Completed
AS-021	No-calendar: accept 1 concrete time	No calendar; organizer provides exactly 1 concrete date/time	System accepts as option set of size 1 and prompts to add another or proceed toward send confirmation.		3	Completed
AS-022	No-calendar: accept 2–3 concrete times	No calendar; organizer provides 2 or 3 concrete date/times	System accepts up to 3 options; if 3 provided, proceeds to goal + send confirmation.			Completed
AS-023	No-calendar: enforce max options	No calendar; organizer attempts to add a 4th time	System rejects additional option and confirms max reached; offers send or exit.			
AS-024	Goal selection prompt appears	After options captured (calendar or no-calendar)	System prompts: “Reply 1 Everyone, 2 Critical mass” (or equivalent).			
AS-025	Goal selection invalid input	Organizer replies invalid value (e.g., “3”)	System re-prompts with same goal options; does not proceed.			
AS-026	Goal selection 1 accepted	Organizer replies 1	System proceeds to send confirmation prompt.			
AS-027	Goal selection 2 accepted (same behavior)	Organizer replies 2	System proceeds to send confirmation prompt; behavior thereafter identical to 1.			
AS-028	Send confirmation prompt	After goal selection	System prompts: “Ready to start? Reply send or exit” (or equivalent).			
AS-029	Send accepted keywords: send	Organizer replies send	System begins Auto Sync execution: sends invitee messages; sends organizer “Auto Sync sent to [TOTAL] people.”			
AS-030	Send accepted keywords: yes/y	Organizer replies yes or y	Same as AS-029.			
AS-031	Send invalid input	Organizer replies invalid (e.g., “go”)	System re-prompts: “Reply send or exit.”			
AS-032	Time zone required at send-time (no calendar, no stored TZ)	No calendar and user.time_zone not set; organizer replies send	Before any invitee messages, system prompts numbered TZ list (PT/MT/CT/ET/AKT/HT).			
AS-033	Time zone selection valid maps and continues	From AS-032, organizer selects a valid number	System confirms TZ (briefly) and immediately proceeds to send invitee availability SMS + organizer “sent” confirmation.			
AS-034	Time zone selection invalid	From AS-032, organizer sends invalid value	System re-prompts for number 1–6; does not send any invitee messages.			
AS-035	Exit at time zone prompt cancels send	From AS-032, organizer types exit	System cancels sending; returns to normal chat; no active Auto Sync exists.			
AS-036	Stored time zone reused next time	Organizer without calendar sets TZ once, completes, later starts another Auto Sync	System does not ask for TZ again at send-time; proceeds directly to sending.			
AS-037	Invitee availability SMS structure (1 option)	Auto Sync started with 1 option	Invitee receives: header “[Organizer] is finding a time for [Event]” + options list with explicit TZ + instruction “Reply with number(s) or none.”			
AS-038	Invitee availability SMS structure (2–3 options)	Auto Sync started with 2–3 options	Invitee receives numbered list 1..N with explicit dates/times and TZ; includes “none” instruction.			
AS-039	Invitee reply: single valid number	Invitee replies 1	System records response for option 1; does not require clarification; response counts update for organizer views.			
AS-040	Invitee reply: multiple numbers with text	Invitee replies “1 and 2 work”	System extracts {1,2}, ignores text, records both; no clarification prompt.			
AS-041	Invitee reply: none	Invitee replies none	System records as none available for that Auto Sync.			
AS-042	Invitee reply: invalid (no valid numbers, not none)	Invitee replies “maybe” or “ok”	System replies corrective instruction: “Reply with the number(s) that work for you, or none if nothing works.”			
AS-043	Invitee reply overwrite (last reply wins)	Invitee replies 1, then later replies 2	Latest reply replaces previous for that Auto Sync.			
AS-044	Invitee reply overwrite: none → numbers	Invitee replies none, then later 1	Latest reply replaces previous.			
AS-045	24h auto reminder sends to non-responders only	After 24 hours from initial start	Only invitees with no response receive reminder; responders do not.			
AS-046	Organizer receives 24h reminder update	At 24-hour reminder time	Organizer receives update message with [EVENT], [PENDING]/[TOTAL] and instruction to use auto sync check (or equivalent).			
AS-047	48h auto pause summary to organizer	At 48 hours from initial start	Organizer receives paused summary including: responded/total + counts + menu options (send reminder, send invites, exit).			
AS-048	Invitee replies after pause are accepted	After pause summary is sent, invitee replies	System records reply; counts reflect updated state when organizer checks.			
AS-049	Organizer sends reminder from paused	Organizer chooses “send another reminder” from paused menu	System sends reminder to current non-responders; Auto Sync returns to Running.			
AS-050	Reminder cycle pause after 24h	After AS-049, wait 24 hours	Auto Sync pauses again and sends paused summary to organizer; no automatic reminder is sent in this cycle.			
AS-051	Unlimited reminder cycles	Organizer repeats send-reminder action multiple times	System allows repeats; each reminder returns to Running, then pauses after 24h.			
AS-052	Send invites allowed while Running	While Auto Sync is Running, organizer triggers “send invites” action	System proceeds to standard Send Invites flow and completes Auto Sync immediately after invites are sent.			
AS-053	Send invites allowed while Paused	While Auto Sync is Paused, organizer triggers “send invites” action	Same as AS-052.			
AS-054	Send invites handoff uses existing flow	Organizer triggers send invites from Auto Sync	System uses standard Send Invites prompts/steps (if any) to finalize and send calendar invite; no new Auto Sync-specific “pick option” step is required unless standard flow requires it.			
AS-055	Invitee receives invite confirmation after invites sent	After send invites completes	Invitee receives invite confirmation message including event name + date/time + explicit TZ; calendar invite created/sent.			
AS-056	Invitee reply after invites sent	After send invites, invitee replies to old Auto Sync thread	System replies “Got it — thanks.” (reply does not affect Auto Sync).			
AS-057	Stop Auto Sync while Running	Organizer selects stop while Running	System asks confirm; on yes, stops Auto Sync; auto sync check no longer lists it.			
AS-058	Stop Auto Sync while Paused	Organizer selects stop while Paused	Same confirm + stop behavior; not listed afterward.			
AS-059	Invitee reply after stop	After stop, invitee replies to old request	System replies “Got it — thanks.”			
AS-060	Auto Sync Check lists only active (Running/Paused)	Organizer texts auto sync check with active Auto Syncs	System lists only Running/Paused Auto Syncs with responded/total; provides selection instructions.			
AS-061	Auto Sync Check shows none when no active	Organizer texts auto sync check with no Running/Paused	System responds no active Auto Syncs + how to start.			
AS-062	Manage selection: running menu	From AS-060, organizer selects a Running Auto Sync	System shows “Running” management menu with actions: send invites, stop, exit (and any reminder action only if defined by product).			
AS-063	Manage selection: paused menu	From AS-060, organizer selects a Paused Auto Sync	System shows paused summary + menu including send reminder, send invites, stop, exit.			
AS-064	Concurrent Auto Syncs: two active runs	Organizer creates two Auto Syncs concurrently	auto sync check lists both; actions apply to selected one only.			
AS-065	Invitee scoping: most recent unresolved request	Invitee receives two Auto Sync requests at different times; replies “1” after second	Reply is applied to the most recent unresolved Auto Sync message for that invitee.			
AS-066	Invitee scoping after responding to latest	Invitee replies to latest, then later replies again	Second reply continues to apply to latest unresolved Auto Sync (until invites sent/stopped).			
AS-067	Calendar connect command available	Organizer types connect calendar at any time	System begins calendar connect flow (OAuth/link or equivalent); does not break existing active Auto Syncs.			
AS-068	Calendar connect affects future Auto Sync only	Organizer connects calendar after completing/creating earlier no-calendar Auto Sync	Existing Auto Sync continues in its mode; a newly started Auto Sync uses calendar automatically.			
AS-069	Auto-end when all option end-times pass	Auto Sync has options; wait until all option end times are in the past	Auto Sync stops automatically; it no longer appears in auto sync check; no organizer message is required at auto-stop.			
AS-070	Auto-end boundary uses end time (not start)	Create option with start<now<end; ensure now passes start but not end	Auto Sync does not auto-end until after end time passes.			
AS-071	Calendar mode: save then exit before send discards	Calendar mode; organizer saves options then types exit before send	Auto Sync discarded; no invitee messages sent; not in auto sync check.			
AS-072	No-calendar mode: save times then exit before send discards	No calendar; organizer enters times then exit before send	Auto Sync discarded; no invitee messages sent; not in auto sync check.			
AS-073	Organizer changes mind after pause: send invites completes	Auto Sync Paused; organizer chooses send invites	Invites sent; Auto Sync completed/archived; no longer listed.			
AS-074	Organizer changes mind after pause: stop cancels	Auto Sync Paused; organizer chooses stop and confirms	Auto Sync stopped/archived; no longer listed.			
AS-075	Reminder targeting after some replies during pause	Auto Sync Paused; some invitees reply; organizer sends reminder	Reminder goes only to current non-responders at time of reminder.			
AS-076	Organizer counts update via auto sync check	Auto Sync Paused; invitees respond after pause; organizer runs auto sync check then selects	Displayed responded/total and counts reflect latest replies (post-pause).			
AS-077	Invitee invalid number outside range	Invitee replies 9 when only 1–3 options exist	System treats as invalid and returns corrective instruction (numbers/none).			
AS-078	Invitee mixed valid + invalid numbers	Invitee replies 1 and 9	System records valid selection(s) only (e.g., {1}); ignores invalid; no clarification required.			
AS-079	Invitee duplicate numbers	Invitee replies 1 1 1	System records option 1 once; no errors.			
AS-080	Organizer send invites after reminder cycle	Organizer triggers reminder → running → before 24h pause, chooses send invites	Invites sent immediately; Auto Sync completes; pending replies after completion get “Got it — thanks.”			
AS-081	Auto Sync start confirmation to organizer	Immediately after send/launch	Organizer receives confirmation indicating Auto Sync sent to TOTAL invitees.			
AS-082	Organizer paused menu input invalid	Organizer receives paused menu; replies invalid	System re-prompts with same menu options; state remains paused.			
AS-083	Organizer running manage menu input invalid	Organizer in running management; replies invalid	System re-prompts with allowed actions; state unchanged.			